CDIAC Number,Issuer,Issuance Documents,Sold Status,Sale Date,ADTR Report,ADTR Filing Status,ADTR Reportable,ADTR Reportable Next Fiscal Year,ADTR Last Reported Year,Debt Policy,Issuer County,MKR Authority,Local Obligation,MKR CDIAC Number,Issuer Group,Issuer Type,Project Name,Principal Amount,New Money,Refunding Amount,Net Issue Discount/Premium,Debt Type,Purpose,Source of Repayment,TIC Interest Rate,NIC Interest Rate,Interest Type,Other Interest Type,Federally Taxable,First Optional Call Date,Final Maturity Date,CAB Flag,S and P Rating,Moody Rating,Fitch Rating,Other Rating,Guarantor Flag,Guarantor,Sale Type (Comp/Neg),Private Placement Flag,Underwriter,Lender,Purchaser,Placement Agent,Financial Advisor,Bond Counsel,Co-Bond Counsel,Disclosure Counsel,Borrower Counsel,Trustee,Issue Costs Pct of Principal Amt,Total Issuance Costs,UW Takedown,UW Mngmt Fee,UW Expenses,UW Total Discount/Spread,Placement Agent Fee,Financial Advisor Fee,Bond Counsel Fee,Co-Bond Counsel Fee,Disclosure Counsel Fee,Borrower Counsel Fee,Trustee Fee,Credit Enhancement Fee,Rating Agency Fee,Other Issuance Expenses
2000-1488,Vallejo,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,09/18/2000 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,,30380000,30380000,0,,Certificates of participation/leases,"Multiple Capital Improvements, Public Works",General fund of issuing jurisdiction,,,VAR,,,,09/01/2040 12:00:00 AM,N/A,S:A+/A-1,NOT RATED,NOT RATED,NOT RATED,LOC,KBC Bank NV,Neg,Unknown,Wulff Hansen & Company,,,,Rod Gunn Associates Inc,Quint & Thimmig LLP,,,,Union Bank of California,1.62,492316,,,,,,,,,,,,,,
1996-1231,Vacaville,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/18/1996 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Green Tree AD Series 1989-A,4505000,654507,3850493,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,,6.152,NIC,,,,09/02/2014 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,PaineWebber Inc,,,,KNN/Kelling Northcross & Nobriga Inc,Jones Hall Hill & White,,,,First Trust of California NA,3.58,161230,,,,67125,,,,,,,,,,
1993-0636,Fairfield,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,11/17/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Green Vly Rd/Mangels Blvd Ext AD No Cord,4482227,4482227,0,,Special assessment bond,Street Construction and Improvements,Special assessments,,6.81,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,Stone & Youngberg,,,,,Jones Hall Hill & White,,,,,0.78,35000,,,,67233.04,,,,,,,,,,
1987-0516,Solano County,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/31/1987 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Counties,County Government,,6300000,6300000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",Tax increment,,5.256,NIC,,,,07/29/1988 12:00:00 AM,N/A,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Bank of America NT & SA,,,,,Alexander Millner & McGee,,,,,0.07,4500,,,,22400,,,,,,,,,,
1994-0149,Suisun City,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/10/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Civic Ctr,3440000,0,3440000,,Certificates of participation/leases,Public Building,General fund of issuing jurisdiction,,6.418,NIC,,,,,N/A,S:BBB+,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Sutro & Company Inc,,,,,Jones Hall Hill & White,,,,,0,0,,,,56760,,,,,,,,,,
1998-0476,Vacaville CFD No 2,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,04/15/1998 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Mello-Roos,Community Facilities District,Nut Tree Pkwy,10365000,0,10365000,-36447,Limited tax obligation bond,"Multiple Capital Improvements, Public Works",Special tax revenues,,5.489,NIC,,,,09/01/2015 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,E J De La Rosa & Company Inc,,,,,Jones Hall A Professional Law Corp,,,,US Bank Corporate Trust Services,3.07,317960,0,0,0,139928,0,0,0,0,0,0,0,0,0,178032
1988-0974,Vallejo CFD No 1988-1,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,11/15/1988 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Mello-Roos,Community Facilities District,Sky Valley,23840000,13653900,10186100,,Limited tax obligation bond,"Multiple Capital Improvements, Public Works",Special tax revenues,,8.269,NIC,,,,,N/A,S:A(p),M:A1,NOT RATED,NOT RATED,,,Neg,Unknown,Wulff Hansen & Company,,,,,Jones Hall Hill & White,,,,,0.86,205100,,,,513696,,,,,,,,,,
1997-0844,Fairfield,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/23/1997 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,,5190000,5190000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,4.245,NIC,,,,09/30/1998 12:00:00 AM,N/A,S:SP1+,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall Hill & White,,,,Fairfield,0.42,21539,,,,0,,,,,,,,,,
1990-0964,Vacaville,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,09/18/1990 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Eubanks Dr/Midway Rd AD,3660000,3660000,0,,Special assessment bond,Street Construction and Improvements,Special assessments,,8.1,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Wedbush Morgan Securities Inc,,,,KNN/Kelling Northcross & Nobriga Inc,Jones Hall Hill & White,,,,,4.78,175100,,,,54900,,,,,,,,,,
1997-1642,Vallejo Public Financing Authority,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,11/14/1997 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,Series B,2500000,2500000,0,,Revenue anticipation note,"Cash Flow, Interim Financing",Intergovernmental transfers other than grants,,5.5,NIC,,Federally Taxable,,11/02/1998 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Vallejo Redevelopment Agency,,,,Rod Gunn Associates Inc,Quint & Thimmig LLP,,,,Vallejo,0,0,,,,0,,,,,,,,,,
1998-1191,Fairfield,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/17/1998 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,,3740000,3740000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,3.986,NIC,,,,09/30/1999 12:00:00 AM,N/A,S:SP1+,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall A Professional Law Corp,,,,Fairfield,0.4,15084,,,,20084,,,,,,,,,,
1992-0647,Fairfield,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/24/1992 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,,8540000,8540000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",Property tax revenues,,4.4,NIC,,,,06/30/1993 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall Hill & White,,,,,0,0,,,,0,,,,,,,,,,
1987-0892,Fairfield-Suisun Unified School District CFD No 1,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,10/29/1987 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Mello-Roos,Community Facilities District,Suisun City Schools,3246899,3246899,0,,Limited tax obligation bond,"Other, Multiple Educational Uses (Equipment, etc.)",Special tax revenues,9.901,,TIC,,,,,N/A,NOT RATED,NOT RATED,F:BBB+,NOT RATED,,,Neg,Unknown,Wulff Hansen & Company,,,,,Jones Hall Hill & White,,,,,3.16,102650,,,,113641,,,,,,,,,,
2005-1585,Benicia,2005-1585.pdf (http://cdiacdocs.sto.ca.gov/2005-1585.pdf),SOLD,09/28/2005 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Enterprise,4260000,0,4260000,,Public enterprise revenue bond,"Wastewater Collection, Treatment",Public enterprise revenues,3.923,,TIC,,,06/01/2016 12:00:00 AM,12/01/2019 12:00:00 AM,NO,S:AAA,NOT RATED,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Neg,Unknown,Wulff Hansen & Company,,,,,Quint & Thimmig LLP,,,,U.S. Bank National Association,3.68,156558,,,,53250,,,,,,,,28161,,75147
2007-0710,Dixon Unified School District,2007-0710.pdf (http://cdiacdocs.sto.ca.gov/2007-0710.pdf),SOLD,05/30/2007 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,Linford L Anderson ES,6330000,6330000,0,,Certificates of participation/leases,K-12 School Facility,General fund of issuing jurisdiction,4.41,,TIC,,,09/01/2014 12:00:00 AM,09/01/2042 12:00:00 AM,NO,S:AAA/A-,NOT RATED,NOT RATED,NOT RATED,Ins,Ambac,Comp,Unknown,JP Morgan Securities LLC,,,,KNN/Kelling Northcross & Nobriga Inc,Quint & Thimmig LLP,,,,Wells Fargo Bank National Association,2.76,174820,,,,80736,,,27000,,15000,,3300,48784,,
2004-1867,Fairfield,2004-1867.pdf (http://cdiacdocs.sto.ca.gov/2004-1867.pdf),SOLD,01/20/2005 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Pension Obligation Series A,8920000,0,8920000,,Pension obligation bonds,Insurance and Pension Funds,General fund of issuing jurisdiction,,,VAR,,Federally Taxable,,06/01/2034 12:00:00 AM,NO,S:AA+/A-1+,NOT RATED,NOT RATED,NOT RATED,LOC,Landesbank Hessen-Thuringen Girozentrale,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall A Professional Law Corp,,,,The Bank of New York Trust Company,2.24,199600,,,,,,,,,,,,,,
2001-1330,Vallejo City Unified School District CFD No 2,2001-1330.pdf (http://cdiacdocs.sto.ca.gov/2001-1330.pdf),SOLD,07/23/2001 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Mello-Roos,Community Facilities District,,19305000,10826631,8478369,-136827,Limited tax obligation bond,K-12 School Facility,Special tax revenues,5.017,,TIC,,,09/01/2011 12:00:00 AM,09/01/2031 12:00:00 AM,NO,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Neg,Unknown,Prudential Securities Inc,,,,KNN/Kelling Northcross & Nobriga Inc,Kronick Moskovitz Tiedemann & Girard,,Foley & Lardner,,BNY Mellon Capital Markets LLC,3.65,705074,0,0,0,63430,0,0,0,0,29000,0,0,412644,0,200000
2005-1898,Fairfield-Suisun Unified School District CFD No 5,2005-1898.pdf (http://cdiacdocs.sto.ca.gov/2005-1898.pdf),SOLD,01/11/2006 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,YES,2015-2542,Mello-Roos,Community Facilities District,,39495000,0,39495000,499817,Limited tax obligation bond,K-12 School Facility,Special tax revenues,,4.907,NIC,,,08/15/2015 12:00:00 AM,08/15/2025 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,,,Fairfield-Suisun Unified School District Public Financing Authority,,,Stradling Yocca Carlson & Rauth,,,,U.S. Bank National Association,1,394950,0,0,0,394950,0,0,0,0,0,0,0,0,0,0
2005-0204,Fairfield,2005-0204.pdf (http://cdiacdocs.sto.ca.gov/2005-0204.pdf),SOLD,01/20/2005 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Series B,20995000,0,20995000,,Pension obligation bonds,Insurance and Pension Funds,General fund of issuing jurisdiction,5.522,,TIC,,Federally Taxable,06/01/2015 12:00:00 AM,06/01/2034 12:00:00 AM,NO,S:AAA,NOT RATED,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall A Professional Law Corp,,,,The Bank of New York Trust Company,2.04,427628,,,,299150,,,65000,,,,5100,,40000,78322
2005-1897,Fairfield-Suisun Unified School District CFD No 4,2005-1897.pdf (http://cdiacdocs.sto.ca.gov/2005-1897.pdf),SOLD,01/11/2006 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,YES,2015-2542,Mello-Roos,Community Facilities District,Lawler Ranch,1455000,0,1455000,78810,Limited tax obligation bond,K-12 School Facility,Special tax revenues,,5.261,NIC,,,08/15/2015 12:00:00 AM,08/15/2015 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,,,Fairfield-Suisun Unified School District Public Financing Authority,,,Stradling Yocca Carlson & Rauth,,,,U.S. Bank National Association,1,14550,0,0,0,14550,0,0,0,0,0,0,0,0,0,0
2005-0136,Fairfield,2005-0136.pdf (http://cdiacdocs.sto.ca.gov/2005-0136.pdf),SOLD,03/08/2005 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,,47085000,2784879,44300121,2734842,Public enterprise revenue bond,"Water Supply, Storage, Distribution",Public enterprise revenues,,3.462,NIC,,,04/01/2015 12:00:00 AM,04/01/2017 12:00:00 AM,NO,S:AAA/A+,NOT RATED,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall A Professional Law Corp,,,,The Bank of New York Trust Company,1.14,537842,,,,235425,,,,,,,,145243,,157174
2005-1899,Fairfield-Suisun Unified School District CFD No 6,2005-1899.pdf (http://cdiacdocs.sto.ca.gov/2005-1899.pdf),SOLD,01/11/2006 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,YES,2015-2542,Mello-Roos,Community Facilities District,,2990000,2990000,0,47097,Limited tax obligation bond,K-12 School Facility,Special tax revenues,4.127,,TIC,,,08/15/2015 12:00:00 AM,08/15/2025 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,,,Fairfield-Suisun Unified School District Public Financing Authority,,,Stradling Yocca Carlson & Rauth,,,,U.S. Bank National Association,1,29900,0,0,0,29900,0,0,0,0,0,0,0,0,0,0
2006-0194,Vallejo City Unified School District CFD No 2,2006-0194.pdf (http://cdiacdocs.sto.ca.gov/2006-0194.pdf),SOLD,01/25/2007 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Mello-Roos,Community Facilities District,,7360000,7360000,0,108306,Limited tax obligation bond,K-12 School Facility,Special tax revenues,4.054,,TIC,,,09/01/2015 12:00:00 AM,09/01/2031 12:00:00 AM,NO,S:AAA/BBB+,M:Aaa/Baa2,NOT RATED,NOT RATED,Ins,XL Capital Assurance,Neg,Unknown,Stifel Nicolaus & Company Inc,,,,Government Financial Strategies Inc,Kronick Moskovitz Tiedemann & Girard,,,,The Bank of New York Trust Company,4.88,358904,0,0,0,31216,0,61500,36828,0,0,0,2100,209747,1613,15900
2005-1138,Solano Community College District (CCCFA),2005-1138.pdf (http://cdiacdocs.sto.ca.gov/2005-1138.pdf),SOLD,06/16/2005 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,Community College District,CCCFA 2005 TRAN Pool,4765000,4765000,,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,2.781,NIC,,,,06/30/2006 12:00:00 AM,N/A,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Neg,Unknown,Lehman Brothers,,,,RBC Dain Rauscher,Stradling Yocca Carlson & Rauth,,,,Wells Fargo Bank National Association,,,,,,,,,,,,,,,,
2005-0300,Dixon Unified School District,2005-0300.pdf (http://cdiacdocs.sto.ca.gov/2005-0300.pdf),SOLD,03/22/2005 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,6620000,6620000,0,195426,General obligation bond,K-12 School Facility,Property tax revenues,4.839,,TIC,,,08/01/2012 12:00:00 AM,08/01/2044 12:00:00 AM,NO,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Comp,Unknown,Morgan Stanley Dean Witter,,,,KNN/Kelling Northcross & Nobriga Inc,Kronick Moskovitz Tiedemann & Girard,,,,Wells Fargo Bank National Association,2.95,195327,,,,47426,,57500,36000,,,,1000,25000,21600,6802
2005-1116,Vacaville Unified School District,2005-1116.pdf (http://cdiacdocs.sto.ca.gov/2005-1116.pdf),SOLD,07/13/2005 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,31490957,0,31490957,3317303,General obligation bond,K-12 School Facility,Property tax revenues,4.402,,TIC,,,08/01/2015 12:00:00 AM,08/01/2022 12:00:00 AM,YES,S:AAA/A-,NOT RATED,F:AAA/A-,NOT RATED,Ins,Municipal Bond Investors Assurance Corporation,Neg,Unknown,UBS Financial Services,,,,,Stradling Yocca Carlson & Rauth,,,,U.S. Bank National Association,1.4,440224,,,,267673,,,45000,,10412,,18500,65800,18221,14618
2005-1115,Vacaville Unified School District,2005-1115.pdf (http://cdiacdocs.sto.ca.gov/2005-1115.pdf),SOLD,07/13/2005 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,29000000,29000000,0,1664007,General obligation bond,K-12 School Facility,Property tax revenues,4.402,,TIC,,,08/01/2015 12:00:00 AM,08/01/2030 12:00:00 AM,NO,S:AAA/A-,NOT RATED,F:AAA/A-,NOT RATED,Ins,Municipal Bond Investors Assurance Corporation,Neg,Unknown,UBS Financial Services,,,,,Stradling Yocca Carlson & Rauth,,,,U.S. Bank National Association,1.37,398524,,,,246500,,,38000,,9588,,3500,75300,16779,8857
2005-0299,Fairfield,2005-0299.pdf (http://cdiacdocs.sto.ca.gov/2005-0299.pdf),SOLD,04/13/2005 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Pension Obligation,11830000,203000,11627000,,Pension obligation bonds,Insurance and Pension Funds,General fund of issuing jurisdiction,,,VAR,,Federally Taxable,,06/01/2034 12:00:00 AM,NO,S:AA+/A-1+,NOT RATED,NOT RATED,NOT RATED,LOC,Landesbank Hessen-Thuringen Girozentrale,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall A Professional Law Corp,,,,The Bank of New York Trust Company,1.72,203000,,,,,,,,,,,,,,
2004-0640,Solano County,2004-0640.pdf (http://cdiacdocs.sto.ca.gov/2004-0640.pdf),SOLD,06/10/2004 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Counties,County Government,Pension Obligation Series A,36665000,36665000,0,,Pension obligation bonds,Insurance and Pension Funds,General fund of issuing jurisdiction,,5.125,NIC,,Federally Taxable,,01/15/2018 12:00:00 AM,NO,S:AAA/A+,M:Aaa/A1,NOT RATED,NOT RATED,Ins,Municipal Bond Investors Assurance Corporation,Neg,Unknown,Lehman Brothers,,,,The PFM Group/Public Financial Management Inc,Hawkins Delafield & Wood LLP,,,,Union Bank of California,4,1466120,,,,639739,,,,,,,,513000,,313381
2001-1203,Vallejo City Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/28/2001 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,12200000,12200000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,2.551,NIC,,,,07/17/2002 12:00:00 AM,NO,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Banc of America Securities,,,,KNN/Kelling Northcross & Nobriga Inc,Orrick Herrington & Sutcliffe LLP,,,,Solano County,,,,,,7123,,,,,,,,,,
1999-1122,Travis Unified School District (CSCRPA),Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/08/1999 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,CSCRPA 1999 TRAN Pool Series A,5615000,5615000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,3.092,NIC,,,,07/03/2000 12:00:00 AM,N/A,S:SP-1+,M:MIG1,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,US Bancorp Piper Jaffray,,,,,Orrick Herrington & Sutcliffe LLP,,,,US Bank Corporate Trust Services,0,0,,,,0,,,,,,,,,,
2000-1482,Vallejo City Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,11/01/2000 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,20000000,20000000,0,,General obligation bond,K-12 School Facility,Property tax revenues,5.189,,TIC,,,,08/01/2025 12:00:00 AM,N/A,S:AAA,NOT RATED,NOT RATED,NOT RATED,Ins,Financial Guaranty Insurance Company,Comp,Unknown,PaineWebber Inc,,,,KNN/Kelling Northcross & Nobriga Inc,Orrick Herrington & Sutcliffe LLP,,,,US Bank Corporate Trust Services,0.96,192800,,,,,,,,,,,,,,
1988-0790,Vacaville,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,09/20/1988 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Quail Run Apts,10500000,0,10500000,,Conduit revenue bond,Multifamily Housing,Tax increment,,,VAR,,,,08/01/2018 12:00:00 AM,N/A,S:A+/A-1,NOT RATED,NOT RATED,NOT RATED,LOC,Unknown,Neg,Unknown,Pacific Securities Inc,,,,,Orrick Herrington & Sutcliffe LLP,,,,,2.71,285000,,,,0,,,,,,,,,,
2016-0112,Travis Unified School District,2016-0112.pdf (http://cdiacdocs.sto.ca.gov/2016-0112.pdf),SOLD,02/10/2016 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,19625000,0,19625000,2486867.25,Certificates of participation/leases,K-12 School Facility,General fund of issuing jurisdiction,2.922,3.121,,,,09/01/2025 12:00:00 AM,09/01/2036 12:00:00 AM,NO,S:AA/A,NOT RATED,NOT RATED,NOT RATED,Ins,Assured Guaranty Municipal Corporation,Neg,NO,Hilltop Securities Inc,,,,Capitol Public Finance Group,Orrick Herrington & Sutcliffe LLP,,Orrick Herrington & Sutcliffe LLP,,Wells Fargo Bank National Association,2.25,441354.91,0,0,122460,122460,0,71500,45000,0,25000,0,13000,118548,0,45846.91
